Nombre,Ciudad_Banco,Codigo_Ciudad_Banco
Giorgi,RICHMOND,US
Chiquia,PARIS,FR
Merla,Dublin,IE
Rancell,EMINENCE,US
Mallissa,PAINTSVILLE,US
Lou,Breisach am Rhein,DE
Melantha,Regensburg,DE
Izak,Stuttgart,DE
Lucho,MINNEAPOLIS,US
Iosep,Höchberg,DE
Mikel,MINNEAPOLIS,US
Rubetta,JACKSON,US
Layla,Parndorf,AT
Harwell,Dortmund,DE
Gawen,Tallinn,EE
Nat,ALTAVISTA,US
Donavon,NAPERVILLE,US
Meggy,Budapest 09. ker.,HU
Casar,"Norden, Ostfriesl",DE
Allard,JASPER,US
Bryanty,ELIZABETH CITY,US
Melvyn,Roubaix Cédex 1,FR
Annamaria,DURHAM,US
Bogey,Warszawa,PL
Kerrin,TAMPA,US
Osbourn,CASAGIOVE,IT
Gerrie,SIOUX FALLS,US
Tirrell,Gallneukirchen,AT
Stanford,Köln,DE
Welbie,SUMMIT,US
Orelie,KANSAS CITY,US
Gun,MIAMI,US
Raye,WAUPACA,US
Gabey,ELIZABETHTON,US
Edgard,NUEVA CARTEYA,ES
Kory,RICHMOND,US
Anallise,Antwerpen,BE
Edythe,ROMA,IT
Gayelord,LOS ANGELES,US
Jasmin,VERBICARO,IT
Lelah,CORNEDO ALL'ISARCO-KARNEID,IT
Melanie,MOUNTAIN CITY,US
Nicholas,Klagenfurt,AT
Matty,Kraków,PL
Dominica,SIOUX FALLS,US
Lauritz,PARIS 01,FR
Obadiah,MILANO,IT
Maria,TORINO,IT
Shelley,Vilniaus m. sav. Vilniaus m.,LT
Martie,MIDLAND,US
Sayer,MARION,US
Leese,NAPERVILLE,US
Margi,Budapest 05. ker.,HU
Penny,MINNEAPOLIS,US
Korey,Zagreb,HR
Daffy,"Halle, Westf.",DE
Mandi,BARBOURSVILLE,US
Karalee,"Kassel, Hess",DE
Claudelle,Wexford,IE
Den,Kiel,DE
Armando,NICE CEDEX 1,FR
Drew,HOLSTEIN,US
Hirsch,ALBANY,US
Maureen,Madrid,ES
Mercedes,HENRICO,US
Tris,Parndorf,AT
Wilhelmina,MILANO,IT
Mia,Varaždin,HR
Missy,Salzburg,AT
Rodge,RICHMOND,US
Gilberta,Straubing,DE
Amii,"Visbek, Kr. Vechta",DE
Amber,Frankfurt am Main,DE
Royal,RALEIGH,US
Vilhelmina,WABASHA,US
Janith,ALBANY,US
Diannne,OSSEO,US
Shantee,POLO,US
Tommy,LEWISTON,US
Evania,ORANGE CITY,US
Marcille,TUPELO,US
Ardis,Lübeck,DE
Nessa,OKLAHOMA CITY,US
Judye,Kildare,IE
Joice,PARIS,FR
Katey,CINCINNATI,US
Ardith,Grünau im Almtal,AT
Leigh,Vrå,DK
Elvis,BRANDON,US
Clint,SIOUX FALLS,US
Mac,BOZEMAN,US
Marion,BIRMINGHAM,US
Nomi,Krems an der Donau,AT
Goran,Wartberg ob der Aist,AT
Millisent,Hannover,DE
Mylo,CHICAGO,US
Chlo,DALEVILLE,US
Mable,Loosdorf/ Bez. Melk,AT
Clair,Wien,AT
Fonsie,ANDERSON,US
Gabriella,HENRICO,US
Lemmy,ELIZABETHTON,US
Way,Lilienfeld,AT
Giorgio,MINNEAPOLIS,US
Merla,NAPERVILLE,US
Rinaldo,EAGLE LAKE,US
Del,MINNEAPOLIS,US
Sig,POISSY,FR
Rice,Winsen (Luhe),DE
Reube,MARTINSVILLE,US
Karlik,Ljubljana,SI
Morena,TUPELO,US
Mirella,Taxenbach,AT
Mellisa,PUTEAUX,FR
Broddy,Dublin,IE
Cosimo,HERMITAGE,US
Dorey,MILANO,IT
Karilynn,CHAS,US
Lidia,Schrems,AT
Pat,HARRISON,US
Lesley,PARIS,FR
Burnard,HERMITAGE,US
Robinetta,SPOKANE,US
Claudia,Eutin,DE
Austine,Friedrichshafen,DE
Kenneth,MILANO,IT
Johan,Schweinfurt,DE
Omero,Regensburg,DE
Deeann,Münster,DE
Candi,MIAMI,US
Gabriellia,EVANSTON,US
Eustacia,THOMASVILLE,US
Kristoffer,"Bühl, Baden",DE
Sadella,LIPAN,US
Aurelea,TUPELO,US
Shurlock,RIVER FALLS,US
Averill,TUCUMCARI,US
Christin,Perleberg,DE
Krisha,Bilbao,ES
Nikos,Neuss,DE
Merl,ROMA,IT
Austin,Heidelberg,DE
Lyell,Taastrup,DK
Ginger,ROCKVILLE,US
Amber,KINGSPORT,US
Appolonia,Pöndorf,AT
Roshelle,Dublin,IE
Alfy,Olbernhau,DE
Jocelyn,Berlin,DE
Kimberlyn,MILANO,IT
Revkah,MIDLAND,US
Penny,St. Veit an der Glan,AT
Suzi,St. Veit an der Glan,AT
Emilia,VEDELAGO,IT
Loydie,PANA,US
Robbyn,NEW CASTLE,US
Gay,SIOUX FALLS,US
Giusto,MALE',IT
Rowan,Antwerpen,BE
Lin,MOUNTAIN CITY,US
Alvan,Lübeck,DE
Shalna,EVANSTON,US
Rem,LUXEMBOURG,LU
Dodie,YORK,US
Ban,RICHMOND,US
Lammond,UNION GROVE,US
Nelly,MILANO,IT
Dacey,Welzheim,DE
Hadria,Mainburg,DE
Clementia,AMSTERDAM,NL
Boyce,BELZONI,US
Zarah,DOWNEY,US
Porter,Nürnberg,DE
Liz,BUCKLIN,US
Todd,"Cappeln, Oldenburg",DE
Lani,"Erlenbach, Kr Heilbronn, Neckar",DE
Phineas,PARIS 01,FR
Mariana,MEMPHIS,US
Eunice,Brussel,BE
Alexia,SEDALIA,US
Juli,Warszawa,PL
Helaina,Bad Bergzabern,DE
Vernor,Mittweida,DE
Tina,ALPHA,US
Carly,CINCINNATI,US
Robin,München,DE
Rivkah,VAULX EN VELIN,FR
Deeann,Innsbruck,AT
Florella,LAWRENCEBURG,US
Mannie,POISSY Cedex,FR
Bradley,MADRID,ES
Nalani,STUTTGART,US
Selie,Kraków,PL
Margette,"Hurlach, Oberbay",DE
Shaylah,Wexford,IE
Aloisia,GIDDINGS,US
Nichole,Rauris,AT
Larine,N. CHAS,US
Rickert,LOOMIS,US
Rolfe,ASHBY,US
Hadley,"Münster, Westf.",DE
Riccardo,RICHMOND,US
Tanhya,Kronberg im Taunus,DE
Bria,Kornwestheim,DE
Bayard,SANTA FE,US
Lion,NAPERVILLE,US
Modestia,PRIMGHAR,US
Annabel,BELZONI,US
Tobias,ALBANY,US
Damian,Uelsen,DE
Valaree,RICHMOND,US
Jammal,LILLE CEDEX,FR
Trula,AMHERST,US
Angelo,TALLAHASSEE,US
Nanny,LEUDELANGE,LU
Roxanne,NACOGDOCHES,US
Emilie,LAKEWOOD,US
Lacee,Ochtrup,DE
Janelle,PITTSBURGH,US
Alyssa,SPOKANE,US
Germain,Limerick,IE
Tam,BURLINGTON,US
Garik,BIRMINGHAM,US
Bear,Frankfurt am Main,DE
Shir,BIRMINGHAM,US
Munroe,RALEIGH,US
Sydney,STAUNTON,US
Doralynne,ALA,IT
Valery,MILANO,IT
Marji,LUXEMBOURG,LU
Clem,AMHERST,US
Kai,ST PAUL,US
Andrus,CINCINNATI,US
Angelica,HOTCHKISS,US
Karil,Bregenz,AT
Sutton,PITTSBURGH,US
Isabelle,LEWISTON,US
Horatia,LEE'S SUMMIT,US
Alida,MARKESAN,US
Corliss,Wiesbaden,DE
Delaney,ROMA,IT
Junette,HONDO,US
Emmye,SPRINGFIELD,US
Cyndi,STRASBOURG,FR
Kahlil,MILANO,IT
Anabal,Donegal,IE
Cassandre,BURKBURNETT,US
Jeanelle,München,DE
Puff,MARCQ-EN-BAROEUL CEDEX,FR
Germain,BURKE,US
Wright,MOULTRIE,US
Domini,München,DE
Saree,ROSEMEAD,US
Even,MEMPHIS,US
Matty,SPOKANE VALLEY,US
Ramonda,NEW CASTLE,US
Ardys,ALBANY,US
Elene,MINNEAPOLIS,US
Shay,ALBANY,US
Anatola,ST JACQUES DE LA LANDE,FR
Rodolfo,Zaragoza,ES
Bethina,LEWISTON,US
Thedrick,MIAMI,US
Rhoda,St. Andrä im Lavanttal,AT
Dyana,MOULTRIE,US
Audrie,SAN DIEGO,US
Grayce,"Hamm, Westf",DE
Dody,GROVE CITY,US
Saxon,RICHMOND,US
Emelia,Cork,IE
Dyann,MILANO,IT
Gavin,MADRID,ES
Kara,CARLSBAD,US
Daryl,Böblingen,DE
Riccardo,Silkeborg,DK
Jorge,Lisboa,PT
Marv,Lisboa,PT
Catie,Singen,DE
Celinda,SUGAR LAND,US
Rockwell,CHICAGO,US
Sarge,MARSHALL,US
Rory,Wanzleben,DE
Freddy,SAN DIEGO,US
Cathleen,RICHMOND,US
Sidoney,ONTARIO,US
Dode,ROMA,IT
Juli,JACKSON,US
Leena,Reutte,AT
Codie,RICHMOND,US
Crin,ZEBULON,US
Miquela,ALVA,US
Abbe,SEARCY,US
Barnaby,NEWARK,US
Carolann,PARIS,FR
Ignaz,LAKEWOOD,US
Hervey,ALBANY,US
Dannie,CONWAY,US
Verla,GRETNA,US
Matteo,Porto,PT
Hamid,STARKVILLE,US
Myrna,Dublin,IE
Leticia,GREENSBURG,US
Florenza,CEVA,IT
Bella,Rinteln,DE
Eda,Praha 1,CZ
Bonnibelle,WAYNE,US
Evyn,HERMITAGE,US
Sonya,MALE',IT
Bailey,MARIETTA,US
Amelina,Antwerpen,BE
Vickie,PARIS 13,FR
Garreth,"Metzingen, Württ",DE
Nefen,SUGAR LAND,US
Neal,WHEELING,US
Percy,Nenzing,AT
Belia,Praha 1,CZ
Shawnee,STRASBURG,US
Elijah,PORTLAND,US
Evered,BIRMINGHAM,US
Zerk,SPOKANE,US
Odessa,Frankfurt am Main,DE
Olivia,ENGLEWOOD CLIFFS,US
Eugene,Schiffdorf,DE
Gaspar,TUPELO,US
Joshia,Bratislava,SK
Marve,TONGANOXIE,US
Ingelbert,NEW ORLEANS,US
Jules,BIG TIMBER,US
Mahalia,Butjadingen,DE
Misty,LEXINGTON,US
Elisabetta,Murau,AT
Orbadiah,PEARLAND,US
Sal,MILANO,IT
Erv,Valencia,ES
Lorita,'S-HERTOGENBOSCH,NL
Borg,CARUTHERSVILLE,US
Grady,Duisburg,DE
Daphna,BREA,US
Fiorenze,ROMA,IT
Loria,LOS ANGELES,US
Louise,GREENSBURG,US
Stewart,MARIETTA,US
Hermon,HICKSVILLE,US
Sarita,FORT COLLINS,US
Yoko,Hamburg,DE
Jerrine,RICHMOND,US
Llywellyn,VILA-REAL,ES
Abdel,Hermagor,AT
Wait,Tallinn,EE
Madeline,N. CHAS,US
Catlaina,CINCINNATI,US
Charlot,PITTSBURGH,US
Dona,"Kassel, Hess",DE
Tammie,Lutherstadt Wittenberg,DE
Cecily,ST PAUL,US
Dall,HENDRICKS,US
Ray,Sint-Jans-Molenbeek,BE
Anestassia,Zamora,ES
Eolanda,NAPERVILLE,US
Torin,Lisboa,PT
Brittne,HERMITAGE,US
Nial,WILSON,US
Heidi,MADRID,ES
Lita,"Eschborn, Taunus",DE
Brana,Wien,AT
Salvatore,Wien,AT
Bald,RYE,US
Terese,TUPELO,US
Grannie,CHARLESTON,US
Clara,SUGAR LAND,US
Hans,PITTSBURGH,US
Evin,"Nürnberg, Mittelfr",DE
Ermanno,ST. PAUL,US
Milty,ST PAUL,US
Mady,INDIANA,US
Alejandra,UNION STAR,US
Omero,RYE,US
Florri,PORTLAND,US
Jaymie,LEXINGTON,US
Putnam,RICHMOND,US
Karisa,DODGE,US
Jammie,STRASSEN,LU
Olimpia,NEW CASTLE,US
Adena,ONTARIO,US
Kacey,Antwerpen,BE
Sherill,MINNEAPOLIS,US
Rosene,TUPELO,US
Klarrisa,CINCINNATI,US
Garrek,Mittenwald,DE
Teodor,ST. PAUL,US
Aluin,NANTES CEDEX9,FR
Cristian,Kilkenny,IE
Costanza,Raesfeld,DE
Merrel,Madrid,ES
Gray,DWIGHT,US
Doralin,MILANO,IT
Darill,MILANO,IT
Latisha,PARIS 13,FR
Mackenzie,IDA GROVE,US
Kippie,OMAHA,US
Moyra,PITTSBURGH,US
Alexandra,CHADRON,US
Elberta,MILANO,IT
Gusti,Braunschweig,DE
Ilsa,MILANO,IT
Adrianna,COLUMBIA,US
Maire,Geseke,DE
Ashbey,LAGUNDO-ALGUND,IT
Innis,ALBANY,US
Jeremiah,Warszawa,PL
Cos,HERMITAGE,US
Pincus,SUGARLAND,US
Rina,MISSOULA,US
Aggi,LUXEMBOURG,LU
Patrice,MINNEAPOLIS,US
Sibbie,SAN DIEGO,US
Alix,Elsene,BE
Bancroft,Ottobrunn,DE
Laurent,Ystad,SE
Marrissa,BIRMINGHAM,US
Ardelle,Berlin,DE
Marcia,ELDORADO,US
Jedidiah,VILLENEUVE D'ASCQ CEDEX,FR
Chico,RICHMOND,US
Hastie,MIAMI,US
Sonnie,Porto,PT
Colline,MILANO,IT
Cairistiona,HICKSVILLE,US
Dannel,"Hattingen, Ruhr",DE
Maryrose,ABILENE,US
Nesta,UNION STAR,US
Jaquenette,BUCURESTI,RO
Ernst,PIEVE TORINA,IT
Alisha,RICHMOND,US
Holly-anne,TUPELO,US
Hartley,München,DE
Loralyn,"Dietersheim, Mittelfr.",DE
Falito,ST LOUIS,US
Bambie,MILANO,IT
Merrilee,ALBANY,US
Fulvia,Wien,AT
Chan,ROBINSON,US
Julian,Bombarral,PT
Wally,BIRMINGHAM,US
Chadwick,TRINITY,US
Roi,Kildare,IE
Chen,KINGFISHER,US
Anetta,BUFFALO,US
Baldwin,OAK PARK,US
Gonzales,LAS CRUCES,US
Crissy,MAYSVILLE,US
Corey,PARIS 13,FR
Meredithe,"Visbek, Kr. Vechta",DE
Paolo,ROMA,IT
Kalli,ARTHUR,US
Ashlin,CANTON,US
Broddy,Antwerpen,BE
Julian,"Ansbach, Mittelfr",DE
Aymer,HERMITAGE,US
Ewen,PORTLAND,US
Kaspar,MISSOULA,US
Trstram,MILANO,IT
Darryl,Limerick,IE
Xaviera,MIDDLETON,US
Rowland,KANSAS CITY,US
Ranice,PARIS 13,FR
Debee,HAZEN,US
Dugald,LYON 06,FR
Elissa,MIAMI,US
Zared,Vilniaus m. sav. Vilniaus m.,LT
Nevins,CINCINNATI,US
Marsh,"Billerbeck, Westf.",DE
Maryrose,HARTFORD,US
Junie,MILANO,IT
Zorine,Warszawa,PL
Em,Lingen (Ems),DE
Daisi,Antwerpen,BE
Alphonso,RICHMOND,US
Liv,HELSINKI,FI
Anton,"Essen, Ruhr",DE
Lilian,Engen,DE
Kirby,LUXEMBOURG,LU
Travis,BUFFALO,US
Carson,RICHMOND,US
Philis,Wicklow,IE
Christalle,Wicklow,IE
Noach,KINGSPORT,US
Cozmo,CINCINNATI,US
Margo,TUPELO,US
Katti,Eugendorf,AT
Madella,TORINO,IT
Hazel,WICHITA,US
Anallise,Stuttgart,DE
Leia,RICHMOND,US
Dalis,RYE,US
Neddy,LAFAYETTE,US
Ally,Koper,SI
Garvy,CINCINNATI,US
Cathie,Sangerhausen,DE
Nicolea,MADRID,ES
Dee,BARI,IT
Cleveland,Dettenhausen,DE
Karoline,MONTROUGE,FR
Lazaro,OMAHA,US
Miles,HERMITAGE,US
Emily,MONACO,FR
Wallas,SUGAR LAND,US
Free,Haugsdorf,AT
Antonin,BLAIRSVILLE,US
Nolly,MILANO,IT
Quillan,Garching,DE
Lynnea,HERMITAGE,US
Leora,MILANO,IT
Briano,St. Veit an der Glan,AT
Barbra,Porto Salvo,PT
Reed,Wien,AT
Vikki,RICHMOND,US
Rooney,SUGARLAND,US
Adrien,Eggenthal,DE
Kristine,GREENFIELD,US
Darrick,MILANO,IT
Annis,SAN JUAN,US
Robb,LAKEWOOD,US
Shell,Lutherstadt Wittenberg,DE
Gill,WHEELING,US
Cobb,BIRMINGHAM,US
Willie,MILANO,IT
Austina,LUXEMBOURG,LU
Skip,Athens,GR
Cordy,AMSTERDAM,NL
Maudie,TEMPLE,US
Riobard,BIRMINGHAM,US
Corene,ITASCA,US
Sophia,Frederiksberg,DK
Cassi,Madrid,ES
Reena,GALVA,US
Therese,LOUISBURG,US
Olin,Schrems,AT
Dewain,RICHMOND,US
Celene,PARIS 16,FR
Cammy,DETROIT,US
Murray,ALBANY,US
Fields,KANSAS CITY,US
Johny,MIAMI,US
Fons,ALBANY,US
Rebekah,MILANO,IT
Fabiano,MADRID,ES
Joshuah,MINNEAPOLIS,US
Lonnie,CINCINNATI,US
Angelina,ST. PAUL,US
Callie,SIOUX FALLS,US
Melonie,MOULTRIE,US
Shirley,PARIS,FR
Meggy,KANSAS CITY,US
Mabelle,FULLERTON,US
Yurik,ALLENDALE,US
Pinchas,"Pfaffenhausen, Schwaben",DE
Madelaine,CINCINNATI,US
Louis,Monaco,FR
Birk,LAFAYETTE,US
Anthony,ST PAUL,US
Emanuel,MILFORD,US
Dennison,CONWAY,US
Lexine,Luxembourg,LU
Shena,TREVIGLIO,IT
Tammy,MOLENA,US
Elton,Frankfurt am Main,DE
Chancey,Berlin,DE
Heloise,PITTSBURGH,US
Burl,ROMA,IT
Wynny,TAMPA,US
Trista,COLUMBUS,US
Annadiane,COURBEVOIE,FR
Rorie,Frankfurt am Main,DE
Dov,Eutin,DE
Andra,KINGFISHER,US
Arin,MILANO,IT
Nessie,Krems an der Donau,AT
Raina,Gentilly,FR
Nikoletta,LUXEMBOURG,LU
Bealle,MILANO,IT
Coralyn,Herzogenburg,AT
Evelina,ELK RIVER,US
Trevar,MACON,US
Janina,Dublin,IE
Donn,Stuttgart,DE
Tamqrah,CANTON,US
Joscelin,Braunschweig,DE
Tally,Sint-Joost-ten-Node,BE
Dorelia,'S-GRAVENHAGE,NL
Jody,BELZONI,US
Clem,ONTARIO,US
Mabel,ROTAN,US
Chane,TUPELO,US
Mehetabel,JASPER,US
Laurene,CÓRDOBA,ES
Gilles,DUBUQUE,US
Darryl,PITTSBURGH,US
Justine,Glan-Münchweiler,DE
Antonetta,Hamburg,DE
Billie,Haßfurt,DE
Pamela,STARKE,US
Veriee,NEW ORLEANS,US
Bryon,Frankfurt am Main,DE
Justis,HERMITAGE,US
Casar,MEMPHIS,US
Valentijn,CHICAGO,US
Ximenes,TEMPLE,US
Bordie,MILANO,IT
Henka,BEECHER CITY,US
Ronny,NEW BRITAIN,US
Dean,Erding,DE
Gerianna,WYOMISSING,US
Erika,ITASCA,US
Shane,EL MONTE,US
Cherin,LEWISTON,US
Alisha,SUGAR LAND,US
Twila,LAREDO,US
Merrili,HAMBURG,US
Rudiger,FRANKFORT,US
Galvin,NEW ORLEANS,US
Petrina,Innervillgraten,AT
Alidia,HERMITAGE,US
Rhonda,LUXEMBOURG,LU
Evey,"Langenau, Württ",DE
Paddy,SHEPHERD,US
Debera,PARIS,FR
Friederike,Varaždin,HR
Livia,Budapest,HU
Isaiah,NORTON,US
Meir,ROMA,IT
Kin,HARVEY,US
Trina,UTRECHT,NL
Malchy,LUDWIGSHAFEN,DE
Teresina,NEW ORLEANS,US
Carmina,Brussel,BE
Gipsy,PRAIRIE DU CHIEN,US
Jenelle,LONGVIEW,US
Nevil,STRASSEN,LU
Mandi,WALKER,US
Chrissie,MILANO,IT
Denny,Bergisch Gladbach,DE
Dix,ENGLEWOOD CLIFFS,US
Rheba,BLUE MOUND,US
Clem,ALBANY,US
Hadleigh,MILANO,IT
Rory,AMSTERDAM,NL
Zilvia,Amsterdam,NL
Mariana,Köln,DE
Brietta,Stuttgart,DE
Lanae,OKLAHOMA CITY,US
Katharine,HARRISON,US
Esther,ALEXANDRIA,US
Seka,Clare,IE
Quentin,CHARLES CITY,US
Cheryl,COLUMBUS,US
Theodosia,Moers,DE
Fawne,MILANO,IT
Halsey,PLOUFRAGAN,FR
Hedvige,VILLEJUIF CEDEX,FR
Maribelle,Krems an der Donau,AT
Glenn,CINCINNATI,US
Lynn,CINCINNATI,US
Melissa,LEWISTON,US
Teodorico,THOMASVILLE,US
Erma,OKLAHOMA CITY,US
Jobi,MILANO,IT
Walton,SUGAR LAND,US
Cyrillus,Berlin,DE
Carmela,Warszawa,PL
Salli,BUCURESTI,RO
Nike,Witten,DE
Susan,WILSON,US
Andie,GZIRA,MT
Nolana,MILANO,IT
Sandie,SPARTA,US
Glendon,Tübingen,DE
Paxton,RIVERSIDE,US
Simmonds,Reutlingen,DE
Freda,WAYNE,US
Allianora,N CHAS,US
Carter,Louth,IE
Simonne,OKEENE,US
Alexis,CARLSBAD,US
Madelena,BANGOR,US
Andreana,TUPELO,US
Cos,HERMITAGE,US
Mellisa,CASTELLANA GROTTE,IT
Beaufort,Kempten (Allgäu),DE
Delia,NAPERVILLE,US
Pearce,Iłów,PL
Jocko,Murau,AT
Wadsworth,Antwerpen,BE
Starlene,MINNEAPOLIS,US
Mireille,BLUEFIELD,US
Jessalyn,Berlin,DE
Manon,BATESVILLE,US
Lynnell,MONTROUGE,FR
Ricki,COLUMBUS,US
Cecelia,SPOKANE,US
Merle,BOZEMAN,US
Gabriellia,Pirna,DE
Randolf,BIRMINGHAM,US
Darelle,AUBURN,US
Florry,Budapest 5. ker.,HU
Cyrille,Antwerpen,BE
Wells,Antwerpen,BE
Raphael,Šiaulių m. sav. Šiaulių m.,LT
Herold,Kauno r. sav. Kumpiai,LT
Julita,TOLNA,US
Erika,Meßstetten,DE
Sylas,Alpbach,AT
Juieta,CLEVELAND,US
Ulrika,"Traunstein, Oberbayern",DE
Wye,Gerolsbach,DE
Joe,LEWISTON,US
Palm,Oberaudorf,DE
Dehlia,München,DE
Tedie,RUTHER GLEN,US
Kamillah,WAVERLY,US
Killy,JASPER,US
Darline,CLEVE,US
Barnabe,BELLVILLE,US
Horton,Leipzig,DE
Ode,DAYTON,US
Brewer,Dublin,IE
Wilden,NAPERVILLE,US
Claudina,ENGLEWOOD CLIFFS,US
Merridie,RALEIGH,US
Hasheem,ENGLEWOOD CLIFFS,US
Carolyn,LOS ANGELES,US
Shina,NEW BRITAIN,US
Shara,TAMPA,US
Dun,BLAIRSVILLE,US
Slade,Frankfurt am Main,DE
Cynde,HELSINKI,FI
Harlene,HAWTHORNE,US
Loralyn,MONTEBELLO,US
Norbie,Katowice,PL
Rebekkah,LAKEWOOD,US
Fawne,Warszawa,PL
Patty,PARIS,US
Somerset,BIRMINGHAM,US
Tamara,HERMITAGE,US
Lotty,RICHMOND,US
Vivian,TALLAHASSEE,US
Granger,CINCINNATI,US
Lizabeth,NAPERVILLE,US
Betsey,NORTH CHGO,US
Tristam,HARRISON,US
Konrad,RICHMOND,US
Sammy,Brussel,BE
Jobye,MILANO,IT
Gilemette,RICHMOND,US
Carla,MIAMI,US
Genevieve,ROSEMONT,US
Roberto,HENDERSON,US
Lynnea,MILANO,IT
Laural,GILMER,US
Neysa,HICKSVILLE,US
Hartwell,Hellerup,DK
Symon,MINNEAPOLIS,US
Tabbie,Schrems,AT
Gillan,Gardelegen,DE
Nathan,REMBRANDT,US
Casey,SAN MARZANO DI SAN GIUSEPPE,IT
Esteban,BOWLING GREEN,US
Augustine,Stockholm,SE
Deina,"Augsburg, Bay",DE
Rodrigo,MONTREUIL,FR
Fiann,TORINO,IT
Farlie,Hamburg,DE
Wynne,NAPERVILLE,US
Datha,SPOKANE,US
Emilia,MARSEILLE CEDEX 6,FR
Natty,ENGLEWOOD CLIFFS,US
Agathe,CINCINNATI,US
Marylin,LUBBOCK,US
Wain,"Hammah, Niederelbe",DE
Arlin,ATLANTA,US
Silvan,SPOKANE,US
Ninon,Meath,IE
Dayna,PARIS LA DEFENSE CEDEX,FR
Cathyleen,LAREDO,US
Orazio,Thaur,AT
Marcelle,HOOKER,US
Jens,WILSON,US
Merrill,Dortmund,DE
Daryl,Ulm,DE
Garek,Wien,AT
Royall,Obersulm,DE
Georgianna,RICHMOND,US
Upton,Wolfenbüttel,DE
Alvin,DRIEBERGEN RYSENBU,NL
Markus,BREA,US
James,"Auerbach, i.d.OPf.",DE
Hunt,MEXICO,US
Linn,Welzheim,DE
Reeta,Bad Neustadt a.d. Saale,DE
Vally,ROCKPORT,US
Wainwright,RALEIGH,US
Aggi,NAPERVILLE,US
Emmaline,MILANO,IT
Joachim,NAPERVILLE,US
Christyna,NAPERVILLE,US
Lenka,FREDERICKSBURG,US
Karyl,ROMA,IT
Nikita,AUBURN,US
Delly,Hannover,DE
Karee,Donauwörth,DE
Jennica,NAPERVILLE,US
Ella,Madrid,ES
Fayre,MEMPHIS,US
Kermit,SUGAR LAND,US
Ariel,Frankfurt am Main,DE
Deeanne,MINNEAPOLIS,US
Vinny,TAMPA,US
Brinn,CHANTILLY,US
Shamus,KANSAS CITY,US
Wilden,Groß-Umstadt,DE
Ellery,Antwerpen,BE
Lucine,N. CHAS,US
Whittaker,SPOKANE,US
Gerrilee,CLEVELAND,US
Myca,WHEELING,US
Klarika,"Heidelberg, Neckar",DE
Netti,MINNEAPOLIS,US
Bondie,MILANO,IT
Coretta,SILANDRO-SCHLANDERS,IT
Robin,"Visbek, Kr. Vechta",DE
Maximilian,Absdorf,AT
Sallee,Seewalchen am Attersee,AT
Cinnamon,MADRID,ES
Augustina,CLOVERDALE,US
Tomas,CHAMPAIGN,US
